match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,batting_team,chasing_team,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
0,5,26,['2017-04-05'],202,143,143,field,202,143,3273,202,35,NA,NA,NA,NA
1,5,45,['2017-04-06'],370,571,370,field,571,370,7901,370,NA,7,NA,NA,NA
2,5,24,['2017-04-07'],531,505,505,field,531,505,7672,505,NA,10,NA,NA,NA
3,5,31,['2017-04-08'],147,370,147,field,370,147,7624,147,NA,6,NA,NA,NA
4,5,44,['2017-04-08'],143,161,143,bat,143,161,2475,143,15,NA,NA,NA,NA
5,5,26,['2017-04-09'],202,531,202,field,531,202,3949,202,NA,9,NA,NA,NA
6,5,41,['2017-04-09'],571,505,571,field,505,571,2938,571,NA,4,NA,NA,NA
7,5,31,['2017-04-10'],147,143,143,bat,143,147,2801,147,NA,8,NA,NA,NA
8,5,45,['2017-04-11'],370,161,370,field,161,370,2926,161,97,NA,NA,NA,NA
9,5,41,['2017-04-12'],571,202,571,field,202,571,2125,571,NA,4,NA,NA,NA
10,5,28,['2017-04-13'],505,147,505,field,147,505,9356,505,NA,8,NA,NA,NA
11,5,44,['2017-04-14'],143,571,571,field,143,571,9370,571,NA,4,NA,NA,NA
12,5,24,['2017-04-14'],531,370,531,field,370,531,7959,531,NA,7,NA,NA,NA
13,5,28,['2017-04-15'],505,202,202,field,505,202,3009,505,17,NA,NA,NA,NA
14,5,6,['2017-04-15'],161,147,161,bat,161,147,1674,161,51,NA,NA,NA,NA
15,5,41,['2017-04-16'],571,531,571,field,531,571,2938,571,NA,6,NA,NA,NA
16,5,44,['2017-04-16'],143,370,143,field,370,143,6482,370,27,NA,NA,NA,NA
17,5,6,['2017-04-17'],161,505,161,bat,161,505,7283,505,NA,4,NA,NA,NA
18,5,26,['2017-04-17'],202,147,147,field,202,147,2401,202,5,NA,NA,NA,NA
19,5,24,['2017-04-18'],531,143,531,field,143,531,9246,143,21,NA,NA,NA,NA
20,5,26,['2017-04-19'],202,161,202,bat,202,161,2049,202,15,NA,NA,NA,NA
21,5,31,['2017-04-20'],147,571,571,field,147,571,5203,571,NA,8,NA,NA,NA
22,5,28,['2017-04-21'],505,531,531,field,505,531,2969,531,NA,4,NA,NA,NA
23,5,41,['2017-04-22'],571,161,161,field,571,161,1917,571,14,NA,NA,NA,NA
24,5,45,['2017-04-22'],370,202,370,field,202,370,2235,370,NA,6,NA,NA,NA
25,5,24,['2017-04-23'],531,147,531,field,147,531,8127,147,26,NA,NA,NA,NA
26,5,28,['2017-04-23'],505,143,143,field,505,143,7283,505,82,NA,NA,NA,NA
27,5,41,['2017-04-24'],571,370,571,field,370,571,6482,370,3,NA,NA,NA,NA
28,5,45,['2017-04-26'],370,505,505,field,370,505,3009,505,NA,7,NA,NA,NA
29,5,44,['2017-04-27'],143,531,531,field,143,531,7959,531,NA,7,NA,NA,NA
30,5,28,['2017-04-28'],505,161,505,field,161,505,2364,505,NA,7,NA,NA,NA
31,5,10,['2017-04-28'],147,202,147,field,202,147,3949,202,26,NA,NA,NA,NA
32,5,45,['2017-04-29'],370,143,143,field,370,143,1788,370,61,NA,NA,NA,NA
33,5,24,['2017-04-29'],531,571,531,bat,531,571,2854,TIE,NA,NA,NA,NA,NA
34,5,10,['2017-04-30'],147,161,147,field,161,147,2919,147,NA,10,NA,NA,NA
35,5,26,['2017-04-30'],202,505,505,field,202,505,8038,202,48,NA,NA,NA,NA
36,5,41,['2017-05-01'],571,143,143,bat,143,571,2818,571,NA,5,NA,NA,NA
37,5,45,['2017-05-01'],370,531,370,field,531,370,6482,370,NA,5,NA,NA,NA
38,5,6,['2017-05-02'],161,202,161,field,202,161,2535,161,NA,6,NA,NA,NA
39,5,28,['2017-05-03'],505,370,370,field,505,370,2983,370,NA,4,NA,NA,NA
40,5,6,['2017-05-04'],161,531,161,field,531,161,2852,161,NA,7,NA,NA,NA
41,5,44,['2017-05-05'],143,147,143,field,147,143,2919,147,19,NA,NA,NA,NA
42,5,26,['2017-05-06'],202,370,202,field,370,202,3013,370,12,NA,NA,NA,NA
43,5,6,['2017-05-06'],161,571,161,field,571,161,9435,571,146,NA,NA,NA,NA
44,5,44,['2017-05-07'],143,505,505,field,143,505,9356,505,NA,6,NA,NA,NA
45,5,10,['2017-05-07'],147,531,531,field,147,531,9429,531,NA,6,NA,NA,NA
46,5,26,['2017-05-08'],202,571,571,bat,571,202,2237,202,NA,7,NA,NA,NA
47,5,10,['2017-05-09'],147,505,505,field,147,505,2747,147,14,NA,NA,NA,NA
48,5,5,['2017-05-10'],531,161,161,field,531,161,2413,161,NA,2,NA,NA,NA
49,5,41,['2017-05-11'],571,147,571,field,147,571,2954,147,7,NA,NA,NA,NA
50,5,6,['2017-05-12'],161,370,161,bat,161,370,2620,161,7,NA,NA,NA,NA
51,5,5,['2017-05-13'],531,202,202,field,531,202,2534,202,NA,8,NA,NA,NA
52,5,28,['2017-05-13'],505,571,505,field,571,505,2864,571,9,NA,NA,NA,NA
53,5,45,['2017-05-14'],370,147,370,field,147,370,3013,370,NA,9,NA,NA,NA
54,5,6,['2017-05-14'],161,143,143,bat,143,161,2790,143,10,NA,NA,NA,NA
55,5,41,['2017-05-16'],571,370,571,field,370,571,3239,370,20,NA,NA,NA,NA
56,5,44,"['2017-05-17,2017-05-18']",202,505,505,field,202,505,7283,505,NA,7,NA,NA,NA
57,5,44,['2017-05-19'],571,505,571,field,505,571,2749,571,NA,6,NA,NA,NA
58,5,26,['2017-05-21'],571,370,571,bat,571,370,2854,571,1,NA,NA,NA,NA
59,5,41,['2018-04-07'],571,470,470,field,571,470,9129,470,NA,1,NA,NA,NA
60,5,14,['2018-04-08'],161,147,147,field,161,147,2974,147,NA,6,NA,NA,NA
61,5,28,['2018-04-08'],143,505,505,field,143,505,9356,505,NA,4,NA,NA,NA
62,5,26,['2018-04-09'],165,202,202,field,165,202,2237,202,NA,9,NA,NA,NA
63,5,11,['2018-04-10'],505,470,470,field,505,470,5344,470,NA,5,NA,NA,NA
64,5,12,['2018-04-11'],165,161,161,field,165,161,2926,165,10,NA,NA,NA,NA
65,5,26,['2018-04-12'],571,202,202,field,571,202,3949,202,NA,1,NA,NA,NA
66,5,44,['2018-04-13'],147,143,143,field,147,143,3286,143,NA,4,NA,NA,NA
67,5,41,['2018-04-14'],571,161,161,field,571,161,6562,161,NA,7,NA,NA,NA
68,5,28,['2018-04-14'],505,202,202,field,505,202,7880,202,NA,5,NA,NA,NA
69,5,44,['2018-04-15'],165,143,143,field,165,143,2926,165,19,NA,NA,NA,NA
70,5,14,['2018-04-15'],147,470,470,field,147,470,9246,147,4,NA,NA,NA,NA
71,5,28,['2018-04-16'],505,161,161,field,505,161,2938,505,71,NA,NA,NA,NA
72,5,41,['2018-04-17'],571,143,143,field,571,143,2818,571,46,NA,NA,NA,NA
73,5,12,['2018-04-18'],165,505,505,field,165,505,2938,505,NA,7,NA,NA,NA
74,5,14,['2018-04-19'],147,202,147,bat,147,202,9246,147,15,NA,NA,NA,NA
75,5,45,['2018-04-20'],470,165,165,field,470,165,8034,470,64,NA,NA,NA,NA
76,5,28,['2018-04-21'],505,147,147,field,505,147,2974,147,NA,9,NA,NA,NA
77,5,44,['2018-04-21'],161,143,143,field,161,143,8304,143,NA,6,NA,NA,NA
78,5,26,['2018-04-22'],470,202,202,field,470,202,2864,470,4,NA,NA,NA,NA
79,5,12,['2018-04-22'],571,165,571,bat,571,165,9111,165,NA,3,NA,NA,NA
80,5,13,['2018-04-23'],147,161,161,field,147,161,2962,147,4,NA,NA,NA,NA
81,5,41,['2018-04-24'],202,571,571,field,202,571,3949,202,31,NA,NA,NA,NA
82,5,44,['2018-04-25'],143,470,470,field,143,470,2235,470,NA,5,NA,NA,NA
83,5,26,['2018-04-26'],202,147,147,field,202,147,2962,202,13,NA,NA,NA,NA
84,5,13,['2018-04-27'],161,505,505,field,161,505,2413,161,55,NA,NA,NA,NA
85,5,45,['2018-04-28'],470,571,571,field,470,571,2818,571,NA,8,NA,NA,NA
86,5,12,['2018-04-29'],202,165,202,bat,202,165,2049,202,11,NA,NA,NA,NA
87,5,44,['2018-04-29'],143,505,505,field,143,505,7672,505,NA,6,NA,NA,NA
88,5,45,['2018-04-30'],470,161,161,field,470,161,8034,470,13,NA,NA,NA,NA
89,5,44,['2018-05-01'],143,571,571,field,143,571,1997,143,14,NA,NA,NA,NA
90,5,13,['2018-05-02'],161,165,165,field,161,165,2852,161,4,NA,NA,NA,NA
91,5,28,['2018-05-03'],470,505,505,field,470,505,9356,505,NA,6,NA,NA,NA
92,5,31,['2018-05-04'],147,571,571,field,147,571,3291,571,NA,6,NA,NA,NA
93,5,45,['2018-05-05'],143,470,470,field,143,470,2481,470,NA,6,NA,NA,NA
94,5,26,['2018-05-05'],161,202,161,bat,161,202,3949,202,NA,7,NA,NA,NA
95,5,41,['2018-05-06'],571,505,505,field,571,505,2855,571,13,NA,NA,NA,NA
96,5,31,['2018-05-06'],165,147,147,field,165,147,604,147,NA,6,NA,NA,NA
97,5,26,['2018-05-07'],202,143,143,field,202,143,2049,202,5,NA,NA,NA,NA
98,5,12,['2018-05-08'],165,147,165,bat,165,147,5203,165,15,NA,NA,NA,NA
99,5,28,['2018-05-09'],571,505,505,field,571,505,2419,571,102,NA,NA,NA,NA
100,5,13,['2018-05-10'],161,202,161,bat,161,202,2237,202,NA,9,NA,NA,NA
101,5,12,['2018-05-11'],470,165,470,bat,470,165,5203,165,NA,4,NA,NA,NA
102,5,31,['2018-05-12'],505,147,147,field,505,147,9356,505,31,NA,NA,NA,NA
103,5,13,['2018-05-12'],161,143,143,field,161,143,8304,143,NA,5,NA,NA,NA
