match_no,time,venue,team_1,team_2,match_display_name
1,"09-apr-2021, 02:00 pm",Chennai,533,283,Mumbai Indians vs Royal Challengers Bangalore
2,"10-apr-2021, 02:00 pm",Mumbai,534,403,Chennai Super Kings vs Delhi Capitals
3,"11-apr-2021, 02:00 pm",Chennai,26,52,Sunrisers Hyderabad vs Kolkata Knight Riders
4,"12-apr-2021, 02:00 pm",Mumbai,423,239,Rajasthan Royals vs Punjab Kings
5,"13-apr-2021, 02:00 pm",Chennai,52,533,Kolkata Knight Riders vs Mumbai Indians
6,"14-apr-2021, 02:00 pm",Chennai,26,283,Sunrisers Hyderabad vs Royal Challengers Bangalore
7,"15-apr-2021, 02:00 pm",Mumbai,423,403,Rajasthan Royals vs Delhi Capitals
8,"16-apr-2021, 02:00 pm",Mumbai,239,534,Punjab Kings vs Chennai Super Kings
9,"17-apr-2021, 02:00 pm",Chennai,533,26,Mumbai Indians vs Sunrisers Hyderabad
10,"18-apr-2021, 10:00 am",Chennai,283,52,Royal Challengers Bangalore vs Kolkata Knight Riders
11,"18-apr-2021, 02:00 pm",Mumbai,403,239,Delhi Capitals vs Punjab Kings
12,"19-apr-2021, 02:00 pm",Mumbai,534,423,Chennai Super Kings vs Rajasthan Royals
13,"20-apr-2021, 02:00 pm",Chennai,403,533,Delhi Capitals vs Mumbai Indians
14,"21-apr-2021, 10:00 am",Chennai,239,26,Punjab Kings vs Sunrisers Hyderabad
15,"21-apr-2021, 02:00 pm",Mumbai,52,534,Kolkata Knight Riders vs Chennai Super Kings
16,"22-apr-2021, 02:00 pm",Mumbai,283,423,Royal Challengers Bangalore vs Rajasthan Royals
17,"23-apr-2021, 02:00 pm",Chennai,239,533,Punjab Kings vs Mumbai Indians
18,"24-apr-2021, 02:00 pm",Mumbai,423,52,Rajasthan Royals vs Kolkata Knight Riders
19,"25-apr-2021, 10:00 am",Mumbai,534,283,Chennai Super Kings vs Royal Challengers Bangalore
20,"25-apr-2021, 02:00 pm",Chennai,26,403,Sunrisers Hyderabad vs Delhi Capitals
21,"26-apr-2021, 02:00 pm",Ahmedabad,239,52,Punjab Kings vs Kolkata Knight Riders
22,"27-apr-2021, 02:00 pm",Ahmedabad,403,283,Delhi Capitals vs Royal Challengers Bangalore
23,"28-apr-2021, 02:00 pm",Delhi,534,26,Chennai Super Kings vs Sunrisers Hyderabad
24,"29-apr-2021, 10:00 am",Delhi,533,423,Mumbai Indians vs Rajasthan Royals
25,"29-apr-2021, 02:00 pm",Ahmedabad,403,52,Delhi Capitals vs Kolkata Knight Riders
