team_id,team_name,team_label
1,Agriculture Development Bank of Pakistan,ADBoP
2,Middlesex 2nd XI,M2X
3,England Lions,EL
4,Boland,B
5,Afghanistan,A
6,Trinidad & Tobago Red Steel,T&TRS
7,Boland Under-17s,BU
8,KwaZulu-Natal Under-15s,KU
9,Lahore Shalimar,LS
10,Karachi,K
11,Mashonaland Country Districts,MCD
12,Canterbury,C
13,Queensland Women,QW
14,South Australia Country,SAC
15,Netherlands Women,NW
16,Rawalpindi,R
17,Saracens Sports Club,SSC
18,Durham Cricket Board,DCB
19,Victoria Institute of Sport,VIoS
20,Lahore Whites,LW
21,University Sports South Africa XI,USSAX
22,Pakistan University Grants Commission,PUGC
23,Uttar Pradesh,UP
24,Limpopo Under-19s,LU
25,Haryana Under-19s,HU
26,Queensland Country,QC
27,Hyderabad Hawks,HH
28,St. Peters College,SPC
29,Trinidad & Tobago,T&T
30,Somerset 2nd XI,S2X
31,Mashonaland Under-24s,MU
32,Water and Power Development Authority,WaPDA
33,Lancashire,L
34,Eastern Province Under-19s,EPU
35,Free State Under-15s,FSU
36,Cornwall,C
37,Rangpur Riders,RR
38,Pakistan International Airlines,PIA
39,Western Australia Country,WAC
40,Services,S
41,South Western Districts,SWD
42,Gujranwala Cricket Association,GCA
43,South Australia Under-17s,SAU
44,Lahore Eagles,LE
45,Trinidad & Tobago Under-19s,T&TU
46,Malaysia Under-19s,MU
47,Punjab Under-16s,PU
48,Gauteng Under-17s,GU
49,Melbourne Renegades,MR
50,United Arab Emirates Women,UAEW
51,Antigua Hawksbills,AH
52,Bedfordshire,B
53,Hong Kong,HK
54,Australia Under-16s,AU
55,Canada,C
56,Northern Districts Women,NDW
57,Karachi Zebras,KZ
58,Sui Gas Corporation of Pakistan,SGCoP
59,Pakistan Customs,PC
60,Auckland Women,AW
61,Mashonaland Eagles,ME
62,Staffordshire,S
63,United Arab Emirates,UAE
64,Hampshire Cricket Board,HCB
65,South Western Districts Under-13s,SWDU
66,Abbottabad Rhinos,AR
67,Wales Minor Counties,WMC
68,Northerns Under-19s,NU
69,Pune Warriors,PW
70,Abbottabad Falcons,AF
71,Sri Lanka Army Sports Club,SLASC
72,Wellington Women,WW
73,Scotland Women,SW
74,United Arab Emirates Under-19s,UAEU
75,India Green Women,IGW
76,Hertfordshire,H
77,Mumbai Under-19s,MU
78,Mountaineers,M
79,New South Wales Women,NSWW
80,Matara Sports Club,MSC
81,State Bank of Pakistan,SBoP
82,Easterns Under-15s,EU
83,Barbados,B
84,Western Australia Second XI,WASX
85,Baroda Under-19s,BU
86,Gloucestershire Cricket Board,GCB
87,Australian Capital Territory,ACT
88,Loughborough Marylebone Cricket Club University (England),LMCCU(
89,Orange Free State,OFS
90,Queensland Academy of Sport,QAoS
91,St Aloysius College,SAC
92,Leicestershire,L
93,Punjab,P
94,Sialkot Cricket Association,SCA
95,Bloomfield Cricket and Athletic Club,BCaAC
96,Ireland Under-13s,IU
97,Penang,P
98,Easterns Under-17s,EU
99,Free State Under-17s,FSU
100,Sri Lanka Cricket Development XI,SLCDX
101,Lions,L
102,Lahore Lions,LL
103,Karachi Dolphins,KD
104,Berkshire,B
105,Northern Districts,ND
106,Western Province Under-19s,WPU
107,Hampshire,H
108,Sebastianites Cricket and Athletic Club,SCaAC
109,Abbottabad,A
110,New South Wales Country,NSWC
111,Oxford University,OU
112,Basnahira South,BS
113,Gauteng Under-13s,GU
114,Surrey Under-17s,SU
115,KwaZulu-Natal Inland,KI
116,Cambridgeshire,C
117,Durham MCCU,DM
118,Bengal Under-14s,BU
119,Southern Rocks,SR
120,Hyderabad Under-19s,HU
121,Mpumalanga Under-15s,MU
122,Unicorns,U
123,Assam Under-19s,AU
124,Sri Lanka A,SLA
125,Nottinghamshire 2nd XI,N2X
126,Antonians Sports Club,ASC
127,Himachal Pradesh,HP
128,Easterns Under-13s,EU
129,Tasmania,T
130,West Indies Under-19s,WIU
131,Otago Women,OW
132,Bangladesh Under-17s,BU
133,Adelaide Strikers,AS
134,Western Australia Under-19s,WAU
135,Victoria,V
136,Bangladesh Cricket Board Academy,BCBA
137,University of New South Wales,UoNSW
138,Nittabuwa Ladies,NL
139,Hyderabad (India),H(
140,Seeduwa Raddoluwa Cricket Club,SRCC
141,Sialkot Stallions,SS
142,Rawalpindi Rams,RR
143,Royal Challengers Bangalore,RCB
144,Central Districts Women,CDW
145,South Australia Second XI,SASX
146,Worcestershire,W
