venue_id,venue_name,venue_location
1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,
2,Dubai International Cricket Stadium,
3,Buffalo Park,
10,"Punjab Cricket Association IS Bindra Stadium, Mohali",
5,Green Park,
6,Feroz Shah Kotla,Delhi
7,Sharjah Cricket Stadium,
8,JSCA International Stadium Complex,
9,"Brabourne Stadium, Mumbai",
10,"Punjab Cricket Association Stadium, Mohali",
11,"MA Chidambaram Stadium, Chepauk",Chennai
12,Sawai Mansingh Stadium,
13,Arun Jaitley Stadium,
14,Punjab Cricket Association IS Bindra Stadium,
15,Dr DY Patil Sports Academy,
16,OUTsurance Oval,
17,De Beers Diamond Oval,
18,Shaheed Veer Narayan Singh International Stadium,
11,"MA Chidambaram Stadium, Chepauk, Chennai",
20,"Narendra Modi Stadium, Ahmedabad",
11,MA Chidambaram Stadium,
22,St George's Park,
23,Brabourne Stadium,
24,Saurashtra Cricket Association Stadium,
25,"Arun Jaitley Stadium, Delhi",
26,Rajiv Gandhi International Stadium,
27,Subrata Roy Sahara Stadium,
28,Eden Gardens,Kolkata
29,SuperSport Park,
30,"Sardar Patel Stadium, Motera",Ahmedabad
31,Holkar Cricket Stadium,
32,Kingsmead,
33,New Wanderers Stadium,
34,"Vidarbha Cricket Association Stadium, Jamtha",
44,M.Chinnaswamy Stadium,
36,Himachal Pradesh Cricket Association Stadium,
37,Newlands,
41,"Wankhede Stadium, Mumbai",
26,"Rajiv Gandhi International Stadium, Uppal",
40,Barabati Stadium,
41,Wankhede Stadium,Mumbai
42,Nehru Stadium,
43,Sheikh Zayed Stadium,
44,M Chinnaswamy Stadium,Bengaluru
45,Maharashtra Cricket Association Stadium,
